seller sku code	mrp	Discount
DKUC-HOD-206--7-8 Years-7-8Y	1899	100
DKUC-HOD-206--8-9 Years-8-9Y	1899	100
DKUC-HOD-206--9-10 Years-9-10Y	2199	100
DKUC-HOD-207--11-12 Years-11-12Y	2199	100
DKUC-HOD-207--13-14 Years-13-14Y	2199	100
DKUC-HOD-207--2-3 Years-2-3Y	1699	100
DKUC-HOD-207--3-4 years-3-4Y	1699	100
DKUC-HOD-207--4-5 Years-4-5Y	1699	100
DKUC-HOD-207--5-6 Years-5-6Y	1899	100
DKUC-HOD-207--6-7 Years-6-7Y	1899	100
DKUC-HOD-207--7-8 Years-7-8Y	1899	100
DKUC-HOD-207--8-9 Years-8-9Y	1899	100
DKUC-HOD-207--9-10 Years-9-10Y	2199	100
DKUC-HOD-208--2-3 Years-2-3Y	1299	100
DKUC-HOD-208--3-4 years-3-4Y	1299	100
DKUC-HOD-208--4-5 Years-4-5Y	1299	100
DKUC-HOD-208--5-6 Years-5-6Y	1499	100
DKUC-HOD-208--6-7 Years-6-7Y	1499	100
DKUC-HOD-208--7-8 Years-7-8Y	1499	100
DKUC-HOD-208--8-9 Years-8-9Y	1499	100
DKUC-HOD-211--11-12 Years-11-12Y	1899	100
DKUC-HOD-211--13-14 Years-13-14Y	1899	100
DKUC-HOD-211--15-16 Years-15-16Y	1899	100
DKUC-HOD-211--3-4 years-3-4Y	1899	100
DKUC-HOD-211--4-5 Years-4-5Y	1899	100
DKUC-HOD-211--5-6 Years-5-6Y	1899	100
DKUC-HOD-211--6-7 Years-6-7Y	1899	100
DKUC-HOD-211--7-8 Years-7-8Y	1899	100
DKUC-HOD-211--8-9 Years-8-9Y	1899	100
DKUC-HOD-211--9-10 Years-9-10Y	1899	100
DKUC-HOD-212--11-12 Years-11-12Y	1899	100
DKUC-HOD-212--13-14 Years-13-14Y	1899	100
DKUC-HOD-212--15-16 Years-15-16Y	1899	100
DKUC-HOD-212--3-4 years-3-4Y	1899	100
DKUC-HOD-212--4-5 Years-4-5Y	1899	100
DKUC-HOD-212--5-6 Years-5-6Y	1899	100
DKUC-HOD-212--6-7 Years-6-7Y	1899	100
DKUC-HOD-212--7-8 Years-7-8Y	1899	100
DKUC-HOD-212--8-9 Years-8-9Y	1899	100
DKUC-HOD-212--9-10 Years-9-10Y	1899	100
DKUC-HOD-213N--11-12 Years-11-12Y	1899	100
DKUC-HOD-213N--13-14 Years-13-14Y	1899	100
DKUC-HOD-213N--15-16 Years-15-16Y	1899	100
DKUC-HOD-213N--3-4 years-3-4Y	1899	100
DKUC-HOD-213N--4-5 Years-4-5Y	1899	100
DKUC-HOD-213N--5-6 Years-5-6Y	1899	100
DKUC-HOD-213N--6-7 Years-6-7Y	1899	100
DKUC-HOD-213N--7-8 Years-7-8Y	1899	100
DKUC-HOD-213N--8-9 Years-8-9Y	1899	100
DKUC-HOD-213N--9-10 Years-9-10Y	1899	100
DKUC-HOD-214--11-12 Years-11-12Y	1899	100
DKUC-HOD-214--13-14 Years-13-14Y	1899	100
DKUC-HOD-214--15-16 Years-15-16Y	1899	100
DKUC-HOD-214--3-4 years-3-4Y	1899	100
DKUC-HOD-214--4-5 Years-4-5Y	1899	100
DKUC-HOD-214--5-6 Years-5-6Y	1899	100
DKUC-HOD-214--6-7 Years-6-7Y	1899	100
DKUC-HOD-214--7-8 Years-7-8Y	1899	100
DKUC-HOD-214--8-9 Years-8-9Y	1899	100
DKUC-HOD-214--9-10 Years-9-10Y	1899	100
DKUC-HOD-215N--11-12 Years-11-12Y	1899	100
DKUC-HOD-215N--13-14 Years-13-14Y	1899	100
DKUC-HOD-215N--15-16 Years-15-16Y	1899	100
DKUC-HOD-215N--3-4 years-3-4Y	1899	100
DKUC-HOD-215N--4-5 Years-4-5Y	1899	100
DKUC-HOD-215N--5-6 Years-5-6Y	1899	100
DKUC-HOD-215N--6-7 Years-6-7Y	1899	100
